"","GSM831749","GSM831750","GSM831751","GSM831752","GSM831753"
"1007_s_at",10.62688644,10.82065315,10.74654177,8.536859388,8.529572208
"1053_at",9.324802944,8.717449392,6.913926443,8.589562892,8.43512344
"117_at",6.160930642,6.339514049,6.728128248,8.283615349,10.46982911
"121_at",10.9832855,11.51615496,10.92219952,8.194744478,10.80966747
"1255_g_at",3.185070526,3.264751583,3.321300034,3.313205044,3.614350146
"1294_at",7.958615062,8.283180145,8.325681687,7.588205726,7.190228434
"1316_at",5.303398015,5.096286229,5.672269735,5.368858477,5.379113372
"1320_at",5.326895126,5.864213883,5.524461934,6.168965757,6.043392077
"1405_i_at",7.192257111,8.506513739,8.836819317,6.24996477,7.835610377
"1431_at",4.05814279,3.969449378,4.469980605,3.861122054,3.989421455
"1438_at",7.551920799,5.241037547,6.699510863,6.66697582,5.404316462
"1487_at",8.255501629,7.73341591,7.352972641,8.027126692,7.798199785
"1494_f_at",5.97136402,5.842334858,6.199715167,6.134501292,6.1169547
"1552256_a_at",7.654506684,7.624208992,7.442044052,7.747178108,6.647140101
"1552257_a_at",7.962357019,7.619495647,7.344698317,8.782288612,8.083855161
"1552258_at",5.389116038,5.25062131,5.449339972,5.617090247,5.622683593
"1552261_at",5.880767795,5.042649466,4.731596052,4.624530112,4.506820522
"1552263_at",6.306268356,7.267339953,7.111702157,6.906677904,7.625879893
"1552264_a_at",7.802152644,7.820770244,7.813598945,8.318416061,8.21250311
"1552266_at",3.666540665,3.804580181,3.770608668,3.814878352,3.918137599
