# This file was produced by samtools stats (1.20+htslib-1.20) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -F SECONDARY /mnt/data/bioinfo-estadistica-2/enosedal/BioInfo2026-2-ENG/module_04_alignment/data/NA20538.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	14ad5a44	b9736b75	d4f02655
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	347367	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	347367
SN	is sorted:	1
SN	1st fragments:	174411
SN	last fragments:	172956
SN	reads mapped:	323966
SN	reads mapped and paired:	298906	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	23401
SN	reads properly paired:	286546	# proper-pair bit set
SN	reads paired:	345708	# paired-end technology bit set
SN	reads duplicated:	3212	# PCR or optical duplicate bit set
SN	reads MQ0:	17779	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	0
SN	total length:	17953503	# ignores clipping
SN	total first fragment length:	9018082	# ignores clipping
SN	total last fragment length:	8935421	# ignores clipping
SN	bases mapped:	17019151	# ignores clipping
SN	bases mapped (cigar):	16337323	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	224066
SN	mismatches:	158471	# from NM fields
SN	error rate:	9.699937e-03	# mismatches / bases mapped (cigar)
SN	average length:	52
SN	average first fragment length:	52
SN	average last fragment length:	52
SN	maximum length:	108
SN	maximum first fragment length:	108
SN	maximum last fragment length:	108
SN	average quality:	28.0
SN	insert size average:	190.3
SN	insert size standard deviation:	136.4
SN	inward oriented pairs:	144580
SN	outward oriented pairs:	598
SN	pairs with other orientation:	215
SN	pairs on different chromosomes:	4055
SN	percentage of properly paired reads (%):	82.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	2	3	10	17	0	0	32	68	71	39	54	143	324	743	731	943	495	731	1376	2456	2292	3496	3038	3975	12869	1931	138027	462	75	0	0	8	0	0	0	0	0	0
FFQ	2	0	0	1	0	4	6	8	17	17	57	84	145	199	226	312	444	708	701	1035	1054	1315	1588	1750	2801	2967	3519	4904	7605	14425	21636	41927	38855	24581	1472	41	6	1	0	0	0	0	0
FFQ	3	0	0	1	1	6	9	13	16	32	55	90	122	192	252	268	440	706	726	947	1063	1339	1362	1811	2512	3406	3119	2934	4973	10153	17190	22196	40589	39470	18137	227	54	0	0	0	0	0	0
FFQ	4	0	0	1	3	6	5	16	14	20	75	75	116	171	214	273	457	620	681	886	1107	1160	1437	1601	2476	3121	2948	2974	5142	8443	13158	23636	30889	46557	25571	388	148	3	19	0	0	0	0
FFQ	5	0	9	10	16	10	8	23	36	35	68	109	143	241	274	335	556	719	807	1065	1193	1428	1397	1653	2629	2989	3050	3334	5425	8657	14062	23349	25421	43084	24170	7867	146	63	28	1	0	1	0
FFQ	6	0	2	0	5	1	8	12	19	29	41	81	118	167	205	295	377	577	688	881	1026	1214	1419	1423	2274	2727	3011	2825	4983	6123	12731	19572	26964	42283	36787	5242	168	112	20	0	0	1	0
FFQ	7	0	0	0	1	1	0	6	17	23	29	89	118	152	271	243	401	555	619	795	1085	1213	1298	1476	1955	2885	3072	2837	4229	6187	11028	18966	28041	38355	38302	9681	100	125	109	90	26	31	0
FFQ	8	0	0	0	2	1	0	12	14	15	19	73	99	136	239	254	330	497	685	671	1070	1208	1347	1430	1810	2669	2919	3318	3221	6232	9592	18925	24788	33908	41303	17302	118	136	43	22	2	1	0
FFQ	9	0	1	0	1	3	1	8	21	29	34	82	121	132	201	285	320	528	620	701	1178	1193	1269	1611	2040	2783	2969	3316	4447	6960	11280	19744	26295	39060	35816	10977	147	94	83	24	8	29	0
FFQ	10	0	0	0	1	1	0	1	16	21	42	69	117	176	224	325	315	448	634	792	913	1290	1542	1508	1822	2979	3128	3368	4517	6364	10791	16739	25899	35233	38079	16695	117	143	80	21	1	0	0
FFQ	11	0	0	0	1	3	0	4	17	25	30	47	141	168	178	360	331	497	573	858	906	1218	1783	1534	1804	3121	3148	2976	4534	6357	8826	16563	24960	32949	42080	17910	179	95	141	70	24	0	0
